Binary Insertionsort,3,19
Binary Insertionsort,4,33
Binary Insertionsort,5,50
Binary Insertionsort,6,69
Binary Insertionsort,7,88
Binary Insertionsort,8,112
Binary Insertionsort,9,137
Binary Insertionsort,10,162
Binary Insertionsort,20,492
Binary Insertionsort,30,959
Binary Insertionsort,40,1558
Binary Insertionsort,50,2243
Binary Insertionsort,60,3068
Binary Insertionsort,70,3993
Binary Insertionsort,80,4978
Binary Insertionsort,90,6118
Binary Insertionsort,100,7360
Binary Insertionsort,200,25493
Binary Insertionsort,300,54181
Binary Insertionsort,400,92389
Binary Insertionsort,500,141864
Binary Insertionsort,600,199935
Binary Insertionsort,700,269108
Binary Insertionsort,800,348322
Binary Insertionsort,900,438690
Binary Insertionsort,1000,537852
Binary Insertionsort,2000,2081588
Binary Insertionsort,3000,4633736
Binary Insertionsort,4000,8183356
Binary Insertionsort,5000,12726992
Binary Insertionsort,6000,18288366
Binary Insertionsort,7000,24863256
Binary Insertionsort,8000,32362868
Binary Insertionsort,9000,40979772
Binary Insertionsort,10000,50494810
Binary Insertionsort,20000,201101893
Binary Insertionsort,30000,451758666
Binary Insertionsort,40000,802151681
Binary Insertionsort,50000,1253166388
Binary Insertionsort,60000,1803829623
Binary Insertionsort,70000,2454086533
Binary Insertionsort,80000,3205253702
Binary Insertionsort,90000,4054135533
Binary Insertionsort,100000,5008242649
Bubblesort,3,23
Bubblesort,4,44
Bubblesort,5,70
Bubblesort,6,102
Bubblesort,7,139
Bubblesort,8,184
Bubblesort,9,235
Bubblesort,10,291
Bubblesort,20,1176
Bubblesort,30,2671
Bubblesort,40,4797
Bubblesort,50,7417
Bubblesort,60,10785
Bubblesort,70,14633
Bubblesort,80,19083
Bubblesort,90,24384
Bubblesort,100,29861
Bubblesort,200,119670
Bubblesort,300,269329
Bubblesort,400,479816
Bubblesort,500,749195
Bubblesort,600,1080648
Bubblesort,700,1468862
Bubblesort,800,1916787
Bubblesort,900,2431337
Bubblesort,1000,2995050
Bubblesort,2000,12000849
Bubblesort,3000,27004655
Bubblesort,4000,47976806
Bubblesort,5000,74996179
Bubblesort,6000,107992415
Bubblesort,7000,146917704
Bubblesort,8000,192009871
Bubblesort,9000,243137984
Bubblesort,10000,300004018
Bubblesort,20000,1200082296
Bubblesort,30000,2699995429
Bubblesort,40000,4800106262
Bubblesort,50000,7500781715
Bubblesort,60000,10800093064
Bubblesort,70000,14700177055
Bubblesort,80000,19200252220
Bubblesort,90000,24301406164
Bubblesort,100000,29999867363
Combsort,3,24
